squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
67761,81,1,1,5,71456,1,10,1997,0,0,9383,7649,569,1,2,6785841.7
20744,43,0,1,97,83820,4,1,1994,1,0,4212,8532,917,0,2,2087930.4
65934,69,1,1,69,35528,3,3,2014,0,1,3580,7954,730,0,7,6602264.4
50877,87,1,1,89,10814,1,10,2002,0,1,9927,238,831,0,5,5097460.2
33055,10,0,1,12,63073,7,3,1990,1,0,1856,2969,713,0,4,3308068.0
75572,92,1,1,100,4321,3,10,1993,0,1,8113,9070,438,1,10,7572270.3
13914,4,1,0,70,9412,5,1,2020,1,1,1434,5700,298,0,10,1398582.0
80604,85,0,0,51,29337,10,8,2021,0,1,7479,2097,447,1,9,8063954.1
29613,52,1,0,26,90964,2,10,2002,0,0,2501,498,123,1,3,2964803.2
81112,91,0,1,20,23925,5,2,1995,1,1,5331,2507,668,1,6,8117647.5
45860,83,1,1,26,68472,8,4,2019,1,1,1307,7015,411,1,1,4591104.9
261,48,0,1,28,83598,9,3,2016,1,0,5927,8680,811,0,9,29996.6
68825,4,1,1,13,46478,2,9,1995,1,1,7692,6368,950,0,3,6888057.5
26916,82,0,1,58,15630,1,3,1993,0,0,7167,6929,190,1,2,2696491.3
46421,43,1,0,23,27105,2,7,2021,1,1,1517,7148,382,0,8,4646143.1
59816,55,0,0,8,39743,10,8,2019,0,0,5919,1635,154,1,10,5982821.9
11149,43,1,1,58,7818,1,1,1999,1,0,185,7129,754,1,2,1124971.9
71042,13,0,1,62,23316,4,4,2006,1,0,5182,8349,114,0,7,7108064.6
11875,33,1,0,38,75759,4,6,2018,0,0,923,3004,544,0,9,1191250.8
63664,14,1,1,81,16902,4,7,2003,1,0,2863,2396,621,1,0,6373958.3
57431,18,0,0,91,73010,10,3,2015,1,1,7969,840,879,0,7,5752664.5
52078,17,0,1,1,53361,4,6,1993,1,1,619,8032,424,0,8,5212915.3
70757,54,0,1,1,2053,4,2,2001,0,1,9549,5409,354,0,10,7078138.1
30556,23,0,0,81,84084,10,1,2002,1,1,2199,2424,599,0,1,3062451.2
16809,13,0,0,36,66887,8,10,2018,1,0,9979,152,334,0,1,1685229.8
5456,62,1,1,97,18199,6,2,2012,1,1,4099,2073,764,1,0,557575.2
12130,10,1,0,60,10900,2,3,2012,1,0,4492,7274,775,1,2,1222904.2
12551,24,0,0,53,78052,3,4,1992,0,1,7949,6819,134,0,9,1257504.2
61557,89,1,0,51,2036,9,2,2011,0,0,5354,5011,528,0,6,6163797.1
12939,55,0,0,48,27621,4,3,2006,0,0,2785,8311,292,0,7,1298332.6
85576,83,0,0,21,77949,3,2,1998,1,0,5884,3567,507,1,8,8558422.8
8064,33,1,0,27,1452,3,1,1992,0,0,2929,7491,468,0,6,811290.2
50599,93,1,1,89,21075,1,8,2016,0,1,3334,9130,719,0,5,5067362.6
53496,71,0,1,22,62086,4,8,1991,0,0,8619,8861,562,0,2,5354040.1
86405,77,1,0,75,37696,3,3,2015,0,0,5268,7017,302,1,10,8643680.5
18231,10,0,1,74,83758,2,3,1993,1,0,3157,6889,471,1,9,1832629.3
76918,24,0,0,27,69849,3,5,2021,0,1,4821,9985,438,1,8,7694890.1
40214,67,0,1,17,51436,9,1,2005,1,1,6917,3514,235,1,7,4028553.5
94801,98,1,0,79,38030,1,1,2011,0,1,8296,6111,495,0,5,9487999.1
20040,16,0,1,94,27517,6,3,2019,0,1,989,5169,105,1,1,2015414.9
49942,7,1,0,98,24546,1,2,2008,0,0,6138,4562,405,1,4,5003821.8
52974,73,1,1,24,11740,5,2,2004,0,0,5420,1466,623,0,3,5304662.4
62710,17,1,0,54,59437,4,9,2001,0,0,3620,922,217,1,7,6279618.1
66389,6,1,0,46,22064,7,8,2003,1,0,3359,2188,114,1,9,6644576.3
40619,50,1,0,27,84676,4,1,1993,1,1,4313,2008,939,0,3,4066846.3
59738,38,0,0,35,95952,1,8,2002,1,1,7656,1171,718,1,1,5975675.2
60842,28,1,0,4,70186,1,9,2018,0,1,5651,2170,423,0,1,6087203.8
95875,70,1,1,14,25701,4,8,1998,1,0,879,455,364,0,1,9597732.8
44803,64,0,0,18,2557,10,9,1990,1,1,9121,3098,383,1,5,4483091.0
40633,34,1,1,1,79484,9,6,2002,1,0,7966,7459,238,1,3,4069305.2
43359,53,0,1,9,53849,8,3,1991,0,1,9881,8847,418,1,4,4340729.1
98131,58,0,1,97,22812,7,2,2012,1,0,8286,6208,819,1,1,9822005.2
7101,73,0,1,6,62086,10,10,2012,1,1,9168,6768,912,1,5,715591.2
