squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
81835,6,0,0,43,81876,9,7,2021,0,1,9513,8252,875,1,3,8187964.1
32890,3,1,0,96,59953,4,9,2003,1,1,3368,4105,495,0,10,3298699.3
71693,21,1,0,19,42204,10,5,2015,0,1,4893,951,912,1,8,7173700.5
96708,48,0,0,65,42834,8,8,2009,1,1,3964,7743,871,0,2,9677130.9
50449,16,0,1,20,64129,6,10,2012,1,0,2024,1211,866,0,9,5050044.2
56969,56,0,1,56,12850,5,4,2017,1,0,3026,7375,104,1,9,5703520.7
13631,36,0,0,69,36990,7,5,2005,0,0,305,3694,748,0,3,1368204.5
62366,36,0,0,41,66682,7,5,2020,1,0,7835,2613,178,1,8,6240017.0
56878,60,0,1,62,33253,7,5,2015,0,0,8687,3976,771,0,2,5695950.5
52671,38,0,0,37,20274,10,5,2000,0,1,6327,3918,419,0,8,5270960.0
49818,26,0,0,69,71247,3,9,2005,1,0,4751,8182,199,1,2,4983109.5
38969,31,1,1,48,92111,8,4,2019,1,1,6113,1383,352,1,0,3904399.9
52861,60,0,1,84,43808,5,2,1996,0,1,9739,8150,440,1,9,5296085.6
93003,94,0,1,17,30775,3,3,1999,1,1,8476,207,303,1,10,9303949.9
20666,83,1,0,57,74967,4,1,1994,1,1,5379,3285,984,0,1,2072485.4
59749,57,1,1,24,45924,10,6,1998,0,0,1405,2702,938,0,3,5981892.8
3802,26,0,0,9,22231,1,3,2015,1,1,4314,8563,143,0,0,381031.5
50815,59,1,1,59,77685,2,4,2009,1,0,5729,1241,605,0,8,5091098.9
8282,84,0,1,57,37138,5,6,1991,0,0,8604,6303,568,0,9,836291.1
40141,6,0,0,25,45646,3,8,1992,0,1,5131,917,505,0,5,4017149.2
35944,12,1,1,56,54988,4,2,2000,1,1,7476,3509,361,0,10,3601009.0
13642,64,1,1,97,82965,6,7,2017,1,1,4827,9316,143,0,4,1373231.7
72794,23,0,0,75,73969,9,3,2019,0,1,5361,34,104,0,10,7281001.9
99062,35,0,0,47,83194,6,1,2007,0,1,6902,6676,214,1,8,9907981.7
3893,30,0,1,89,91809,8,9,1996,1,1,8765,9222,848,1,10,399892.6
62059,35,0,1,27,92414,6,4,1990,1,0,5463,4679,862,0,5,6214001.0
30559,26,0,1,43,37990,3,5,2002,1,0,6318,7443,255,0,8,3061654.2
466,83,1,1,87,98842,3,3,2001,1,1,4173,8933,182,1,10,58180.1
40782,17,1,0,87,57555,10,3,2005,1,1,9795,7368,244,1,5,4090861.5
10437,56,0,1,23,39718,4,10,1999,1,1,4018,3432,193,1,2,1050183.9
11871,38,1,0,77,2454,10,3,2000,1,1,7893,4711,797,0,1,1196124.0
50660,42,1,0,74,15301,8,2,2016,0,0,3389,8498,955,1,0,5074190.6
48637,64,1,0,83,30779,6,4,1992,1,0,594,8310,898,0,5,4872012.2
