squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
89715,46,1,0,19,14625,10,4,2021,0,1,9802,4844,984,0,9,8978105.1
53396,77,1,0,42,66177,8,3,1990,1,1,4830,3740,199,1,7,5344746.0
99085,61,1,0,41,82878,2,4,2010,1,0,920,8849,313,0,3,9916844.0
70247,96,1,0,46,461,7,6,2020,1,0,2074,2007,622,1,0,7034364.0
35153,86,0,0,93,64040,1,10,2004,0,0,182,6541,408,0,7,3522618.4
22121,33,1,0,31,26323,5,10,2015,0,0,485,4035,826,0,4,2217570.5
34288,43,1,0,41,51620,8,4,2011,1,1,4489,5060,348,1,0,3435548.1
42078,4,1,1,9,51158,5,3,2005,0,0,8430,4723,185,0,6,4213583.5
96791,100,1,1,4,56285,2,8,2011,0,1,1317,316,336,0,6,9683987.1
900,20,1,1,51,77438,1,4,2008,0,1,7384,549,715,1,5,100197.8
58150,80,1,0,27,82871,6,6,1990,0,0,2670,5772,689,1,1,5820741.0
68102,83,0,1,46,99552,6,1,1999,1,0,7405,2501,670,1,9,6818967.9
69418,3,1,1,70,32221,3,6,1992,0,1,1835,543,314,0,6,6951279.2
42630,49,0,1,23,43807,2,6,1991,0,0,4767,331,814,0,2,4267672.1
35249,56,0,1,20,98833,1,8,2012,1,0,4551,4762,712,1,5,3529536.2
14344,86,1,1,73,32160,5,7,1993,1,0,6964,880,485,0,3,1446006.3
16446,77,1,1,42,47502,4,2,2017,1,1,5734,9648,942,0,1,1650622.7
95733,49,1,1,97,35699,5,10,2013,1,0,9434,340,779,1,2,9584807.3
85425,29,0,1,92,74849,8,2,1994,1,1,9186,2292,805,0,0,8552545.4
71472,96,1,1,40,8617,8,2,2015,0,0,4405,143,159,1,1,7154589.5
13440,31,0,0,83,97679,3,3,2006,0,1,6486,7265,548,0,4,1345546.6
22061,59,1,1,50,37784,9,6,1997,1,1,5559,690,127,1,3,2212814.7
55439,63,1,0,82,70776,5,2,1996,0,1,4954,5749,843,1,10,5550349.6
88001,56,0,1,74,70983,5,9,2007,0,0,7889,8879,548,1,1,8804639.7
70613,7,1,1,29,82418,8,2,2011,1,1,1819,3442,662,0,5,7071960.1
35488,2,1,0,79,34602,2,7,2018,0,1,6111,7756,867,0,4,3559112.8
12700,91,0,1,71,46665,6,4,1994,1,0,1867,7473,436,1,1,1279169.4
23885,12,1,0,23,13607,4,3,2002,0,0,5011,5394,369,0,10,2392010.2
36667,61,0,1,61,63067,7,3,1991,0,1,5319,8751,645,1,8,3675788.1
19189,63,1,0,50,77201,2,8,2014,1,0,1317,75,792,1,5,1922029.4
61418,32,0,0,80,21724,5,2,2000,1,0,874,3594,829,0,4,6148450.0
27995,63,1,1,1,35061,7,5,2013,0,0,7010,9129,847,0,0,2809288.3
39385,6,0,0,27,1529,8,1,2002,1,1,5014,1638,362,0,1,3941795.2
55333,24,0,0,54,785,8,8,2017,1,1,7655,6093,696,0,7,5539161.7
97187,12,1,1,55,2696,10,5,1992,0,0,2433,3792,900,0,9,9729784.2
68985,86,0,0,80,95557,1,1,2009,0,1,2680,3194,576,0,1,6901750.9
71354,33,1,0,13,80274,1,3,1999,1,1,2938,3913,300,1,7,7140052.9
57026,87,1,1,2,30077,5,9,1994,0,0,6913,5017,661,1,9,5710109.4
62149,91,1,1,17,28244,6,10,1991,0,1,8579,7117,544,0,2,6221668.1
25836,91,0,1,98,9484,9,1,2007,0,1,480,2518,985,1,10,2597793.7
74465,22,1,1,85,46001,1,4,1992,0,0,6696,8811,586,0,1,7460896.2
33304,5,0,0,50,89874,8,10,2001,1,0,4009,1683,317,1,3,3334300.1
59660,46,1,0,90,29234,8,6,2015,1,1,1111,3249,784,0,10,5975034.5
22298,4,0,1,99,87813,7,10,1992,0,0,6038,9472,130,1,0,2236646.2
82554,79,1,1,8,55438,4,5,2004,0,0,7888,3521,450,0,8,8265275.4
97970,33,0,1,94,72344,3,4,2000,0,0,9558,2195,232,1,4,9809237.0
60187,59,0,1,23,33304,10,6,1999,1,1,7472,4565,353,1,0,6023643.9
57930,16,1,0,82,23141,6,9,2000,0,1,6834,523,768,1,0,5796201.0
59392,87,1,1,36,90245,9,10,2001,0,0,9394,1646,834,1,5,5948797.1
45324,46,0,0,84,32536,8,1,2014,0,1,1256,1266,746,0,0,4536393.4
83245,91,1,0,2,37822,6,6,2002,0,1,1113,9266,921,0,6,8327808.2
21086,3,1,1,58,98248,2,2,2006,1,1,4001,4443,527,0,3,2116427.6
88539,18,0,0,86,78663,8,3,2003,1,0,1702,6160,943,1,9,8858484.3
75402,73,1,0,21,13664,10,2,1992,0,0,3045,903,446,1,4,7545890.2
17347,33,0,0,93,31368,2,3,1995,0,1,1771,2663,132,1,3,1742732.5
77765,35,0,1,24,79725,8,9,2015,1,0,7248,8387,622,1,0,7782483.5
16187,17,1,1,10,78230,9,2,2008,0,0,7265,2708,656,1,1,1625626.8
9972,95,1,0,27,30032,10,5,2018,1,1,8502,5791,755,0,10,1004815.8
57015,65,1,1,80,26542,4,3,1994,0,0,4070,8082,512,0,7,5711455.4
24237,8,1,1,21,96246,9,2,2021,0,1,8582,4776,588,1,1,2430773.1
80995,7,0,1,50,28239,8,4,2019,0,0,4568,3359,567,1,6,8106168.9
31055,90,0,0,66,9711,3,5,2012,0,0,4128,8944,464,0,0,3109679.2
97831,19,0,1,75,73394,4,9,2004,0,1,1728,5426,613,1,3,9790034.4
89089,45,1,0,66,35668,9,9,2020,1,1,6424,8993,810,1,7,8914602.0
36555,40,1,0,55,60887,1,2,1990,1,0,2681,1015,661,1,10,3661032.0
44247,65,1,0,76,22087,5,5,1995,0,1,5574,2304,220,0,10,4430620.5
202,18,1,0,82,38322,2,4,1996,1,1,5740,8505,106,1,6,28295.6
45403,29,1,1,6,31613,10,7,2002,0,1,6257,4430,543,0,8,4547042.2
39611,5,0,1,50,99753,5,9,2005,1,1,9229,6385,409,0,0,3968264.5
78016,21,1,0,57,72131,4,2,1993,1,1,751,8247,702,0,0,7809472.3
37065,25,0,0,32,9237,10,4,1998,0,1,1943,9907,859,0,0,3709895.8
35415,88,1,1,97,28360,3,7,1995,1,0,1282,1268,973,0,10,3552201.5
22884,87,0,1,3,60484,2,4,1994,1,1,7608,6094,267,1,1,2292005.4
83954,89,0,1,91,51294,5,10,2013,0,0,3517,8384,259,0,8,8404690.3
63780,43,0,1,82,39743,8,2,2018,1,1,8755,8633,134,0,4,6386345.8
35758,61,1,0,9,12853,6,10,2018,0,1,4397,7935,259,0,7,3578395.8
72555,30,1,1,61,40387,10,3,2009,0,0,5346,5785,533,0,0,7264099.9
42136,53,1,0,63,19268,10,4,2004,1,1,9918,2871,430,0,0,4217052.4
29798,98,0,0,25,60178,7,4,2015,0,0,6504,4054,462,0,2,2981776.5
38643,53,1,1,54,17695,8,3,2015,0,0,2198,7242,303,1,2,3874219.5
98799,55,1,0,42,15155,6,5,2020,1,0,5468,9365,712,1,0,9887392.0
55668,20,0,1,48,64823,7,1,2009,0,1,2002,5656,984,1,1,5576689.9
65786,55,1,0,40,86843,4,6,1993,0,0,5005,7135,309,1,9,6581341.3
80000,2,1,1,19,70105,10,5,2013,0,0,9879,1327,926,1,3,8007346.3
19443,16,1,1,27,28306,9,1,2006,0,0,9579,2065,117,0,6,1954996.6
5354,30,0,1,70,40829,9,9,2021,1,0,4380,8536,644,0,9,545595.1
19534,47,0,0,20,53253,10,3,2011,0,1,2861,7653,908,1,9,1954981.1
58585,7,0,1,49,54687,3,4,2010,0,0,3178,6462,992,1,1,5864736.0
51547,65,0,1,23,81729,5,6,2002,0,0,8346,3493,861,1,7,5158989.2
93363,43,1,0,88,73200,8,4,2020,0,1,4992,7648,871,0,10,9341198.0
47258,43,0,0,13,50259,8,7,1995,0,0,7398,3146,192,0,1,4727374.5
57117,12,1,1,86,76093,10,8,2014,0,0,9199,3220,460,0,3,5722262.4
49557,62,1,0,85,40618,8,7,2020,1,0,5338,5943,977,1,7,4960553.0
90164,28,1,1,13,50419,9,2,2016,1,1,8609,3586,697,0,0,9022533.6
1500,47,1,0,18,89992,7,5,2001,1,0,6767,8177,198,1,7,153756.1
54245,57,0,1,15,58253,2,1,2001,1,1,658,9034,167,0,8,5426769.1
87795,88,0,1,55,36581,6,3,2001,1,0,1819,798,620,0,3,8787355.1
24523,60,1,0,21,40504,2,1,1998,1,1,1625,9094,980,0,4,2457562.8
68595,48,0,1,88,91163,6,6,1998,1,0,3024,3990,518,0,9,6865628.8
20304,57,1,0,52,27582,2,6,2009,1,1,1310,7149,522,1,10,2039313.9
