squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
87484,77,0,1,27,98136,1,1,2015,0,1,7495,654,332,1,6,8750467.5
89220,31,1,0,64,16058,2,9,2014,1,1,6972,6571,361,0,8,8928266.4
31525,25,0,1,58,10367,4,1,1992,1,0,4833,5465,462,0,0,3161366.2
52579,55,1,1,2,97290,8,6,2013,0,1,1496,2129,778,1,7,5263918.3
30803,39,1,0,49,63428,2,10,2004,0,0,3551,8633,968,1,6,3085897.4
82120,31,1,1,33,41160,2,4,2018,0,0,9276,9314,156,0,0,8223358.8
71171,22,1,1,44,545,2,1,2001,1,1,5734,103,873,0,4,7127415.1
579,8,0,1,20,73116,2,2,1994,0,1,5060,7544,710,1,7,63718.4
89204,69,0,0,19,24653,3,1,1994,0,0,4087,8696,742,1,6,8921053.4
5904,56,0,1,1,49893,8,7,2018,0,0,9801,8978,490,1,1,595108.8
92629,62,0,0,15,79904,8,8,2003,0,0,5983,1667,618,1,3,9263965.3
77553,96,0,0,99,37327,9,10,2005,0,1,4072,4969,406,1,8,7763278.5
3542,16,1,1,92,30643,5,8,1998,1,1,6923,5570,414,1,10,363918.8
10749,68,1,1,71,41638,1,7,2000,0,0,4757,6098,889,1,8,1085899.0
38021,76,1,1,82,26974,1,2,1991,1,1,8601,915,955,0,0,3817885.1
97193,47,0,1,18,47816,10,2,2009,0,1,3810,843,488,0,5,9723642.9
13309,20,1,0,73,56261,6,8,2004,1,0,1620,7675,843,0,5,1337541.4
10708,84,0,1,93,97875,6,6,1998,1,1,9347,118,209,0,10,1076965.8
77460,95,0,1,23,56748,8,9,2008,0,1,9289,7172,951,1,2,7753079.8
94133,93,0,0,71,83023,2,5,2012,1,1,9978,803,143,0,10,9415634.2
99869,63,0,1,15,64932,5,7,2001,1,1,5894,5049,826,0,10,9990641.1
66370,15,0,0,20,7190,4,3,2002,0,0,5358,5636,962,0,7,6638720.2
74780,86,0,0,3,84310,5,2,2005,1,1,3421,1338,276,0,1,7479141.5
89925,25,0,1,50,98444,5,7,1992,1,1,4584,8115,918,1,6,8999987.2
28808,71,1,1,13,46565,2,10,2010,1,0,75,1103,755,0,3,2888357.0
28640,68,0,1,98,79149,9,2,1990,0,0,4829,7148,865,0,1,2870927.0
15517,54,0,0,27,47190,8,9,2001,0,0,7754,8916,991,1,4,1554406.1
11059,42,0,1,85,90373,9,9,2011,0,1,9216,2984,888,1,0,1113128.1
86183,10,1,1,31,5386,7,10,2010,0,0,8389,8395,637,0,0,8624347.0
19408,71,1,1,50,83493,3,6,2013,0,0,4385,3514,180,0,5,1953014.3
26958,32,1,1,40,49753,8,2,2001,0,1,9038,919,575,0,0,2706761.1
45859,4,0,1,69,30467,7,2,2008,0,1,3926,3239,362,0,9,4595196.8
55845,54,0,0,41,6679,10,7,2019,0,1,704,6103,315,0,7,5588845.9
43304,52,0,1,72,3578,9,2,2009,1,1,3471,6444,674,0,9,4337442.9
79511,16,0,0,48,57353,6,5,2007,0,0,6230,764,643,1,5,7953040.7
88501,53,0,0,54,47121,4,3,1992,1,0,6277,279,234,1,8,8853507.2
75616,74,1,0,80,82139,7,10,2006,1,0,3725,1227,247,0,9,7571050.6
18368,21,0,0,7,6822,9,9,2002,1,0,637,5404,362,0,10,1837769.2
5375,33,1,1,58,4817,10,3,2010,0,0,2524,7106,120,0,3,550909.0
6707,72,0,1,4,86419,1,4,2001,1,1,4976,5004,429,1,0,673817.1
92190,11,1,0,72,71291,1,10,1995,0,1,5402,3753,142,0,2,9225418.5
25432,58,1,0,46,43170,4,7,2011,1,0,9273,3243,426,1,7,2550518.1
37793,34,0,1,55,22570,7,4,1996,1,1,7075,9413,555,0,0,3786136.6
60854,27,1,0,30,53332,10,7,2019,0,0,8561,2872,434,1,1,6092125.9
91531,85,1,0,12,55812,7,8,2007,0,1,7085,5229,974,0,1,9157941.7
68876,40,1,0,25,66576,4,7,1990,1,0,7964,5567,634,1,2,6891640.0
7608,98,1,0,6,7118,4,7,2019,0,1,7675,4430,951,1,4,764900.9
68717,60,0,1,13,88535,6,10,2004,0,0,5345,9447,605,1,4,6877356.4
65723,52,1,1,24,15556,7,6,2008,1,0,1917,1872,236,0,4,6578284.8
