squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
38048,67,0,0,74,61735,6,9,2010,1,0,4814,6717,346,0,5,3808313.0
48546,64,1,1,60,59895,4,1,1993,0,0,782,8106,547,1,3,4860634.3
94228,34,0,1,62,34921,2,10,1994,0,0,815,6389,836,0,6,9430661.4
55825,69,1,0,25,46465,3,1,2001,1,1,441,771,905,0,4,5585288.1
7773,100,1,1,85,25932,4,1,2007,0,0,5057,1317,391,0,8,792566.7
24180,68,1,0,93,72780,7,7,1991,1,0,1857,4612,463,0,8,2425595.1
30502,91,1,1,77,88127,9,6,1998,1,1,9151,9350,146,0,9,3062069.8
30346,25,1,0,80,24880,9,5,2000,1,1,2677,142,114,1,2,3047721.0
20311,23,1,1,87,59363,10,1,2017,0,1,1558,2913,931,0,7,2039188.7
70936,60,0,0,21,37500,3,3,2006,0,0,8370,916,884,0,10,7094370.6
56416,41,1,1,99,29464,6,7,2021,1,1,3804,5895,243,0,6,5653890.1
26073,59,0,1,23,95318,10,10,2006,0,0,1018,1776,420,1,8,2612190.6
79182,37,1,1,9,97339,4,3,1993,0,0,9600,8691,428,0,7,7922295.3
39627,29,0,0,44,50402,4,2,2008,1,0,2974,9263,982,0,6,3964708.8
97677,51,1,0,35,37317,10,2,1994,0,0,4887,5498,810,0,5,9772148.4
34013,84,1,0,95,67735,4,1,2014,0,1,7960,8596,331,1,0,3411660.4
55620,90,1,1,90,8078,3,6,2002,1,1,3282,4811,470,0,4,5573469.2
77421,70,0,0,6,53863,4,10,2011,0,1,6219,7859,194,1,2,7743163.1
50844,99,0,1,83,76381,4,2,1995,1,1,7366,9496,706,1,3,5092707.5
94541,78,1,0,67,47070,1,4,2003,0,1,6902,3043,501,0,10,9460440.3
10976,17,1,1,77,97750,10,1,2001,0,1,237,7652,334,1,0,1108155.1
52697,25,1,0,60,13248,7,3,2009,1,1,8452,8433,133,1,9,5278045.9
38860,27,1,0,70,8421,7,8,1991,0,1,5171,8637,628,1,5,3894132.1
98501,66,1,0,51,10725,4,5,2002,1,1,2911,6782,520,1,4,9856475.2
