squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
57944,48,1,0,78,3351,4,6,2011,0,1,2693,5342,414,1,8,5802614.1
61632,22,0,0,69,38070,8,2,2000,0,0,9732,7528,849,1,0,6168699.0
78797,93,0,0,54,97351,1,8,2014,1,0,4633,6930,138,0,5,7884093.4
20001,26,0,1,54,73837,4,6,2003,1,1,6976,4926,876,0,5,2004766.3
88591,6,1,1,93,84333,1,10,1998,1,1,4000,4443,697,1,6,8873534.8
40378,81,1,1,26,34312,9,1,2019,1,1,3836,2682,319,1,5,4046345.9
67498,24,1,1,21,92259,8,4,2007,1,0,2571,6694,849,1,1,6753907.7
92002,66,0,0,64,29907,4,8,2011,1,1,7791,7261,286,0,10,9201705.1
32115,84,1,0,41,17304,7,10,2000,1,0,1540,1794,694,1,6,3214734.0
7490,11,1,1,98,76635,4,3,2002,0,0,5403,5495,897,1,9,765190.2
64164,47,1,1,49,2059,5,2,2016,1,0,6643,2420,273,1,2,6427021.6
11685,85,1,0,13,70794,8,6,1993,0,1,362,3584,299,0,1,1173785.3
91967,44,0,0,44,97804,8,5,1998,0,1,6259,2785,513,1,7,9198819.8
604,76,1,1,73,18386,4,10,1995,1,1,1599,1999,920,1,3,71712.5
58108,35,0,0,80,25111,3,4,2013,0,0,5339,8889,219,0,2,5818911.3
41048,4,0,0,31,43048,6,2,2021,0,0,8533,235,345,0,1,4107100.1
69513,11,1,0,75,10439,2,2,2005,0,0,8366,6543,941,0,7,6958375.5
17040,34,1,0,55,72842,9,1,2019,1,1,5811,7670,397,0,6,1709341.9
59050,28,1,1,74,27737,3,5,2001,0,1,6208,1658,965,1,0,5914478.1
25870,6,1,1,3,96553,5,2,2012,1,1,8108,4033,339,1,2,2590169.2
69174,93,0,1,94,51069,3,4,2008,0,0,923,1506,177,1,5,6929833.8
95273,61,1,1,45,22419,2,9,1994,0,1,34,1256,350,0,2,9537187.4
42264,55,0,1,66,75039,5,8,2017,0,0,7961,3897,238,0,2,4231907.7
844,40,1,1,82,50388,6,3,2020,0,1,9680,4126,164,1,3,98546.0
31350,73,0,0,11,19581,6,6,2013,0,0,6125,8000,259,1,4,3136370.3
61942,2,1,0,18,54472,1,3,2011,0,0,5968,1804,143,0,2,6197760.1
37164,46,1,0,38,76523,3,10,2001,1,1,3819,3245,951,0,5,3721736.1
35985,100,1,1,51,96283,8,10,1997,0,0,3953,34,430,0,3,3610020.7
81222,13,0,0,100,23961,9,4,2013,1,1,6390,334,452,0,3,8129951.3
46068,84,1,0,43,9909,2,4,2011,0,0,3647,9609,870,1,9,4614136.1
47824,52,0,0,12,39180,5,7,1993,0,1,9562,3717,793,1,3,4784201.3
65308,38,1,0,75,45213,9,7,2003,0,1,3714,7479,698,0,2,6535120.3
99885,2,0,0,5,29151,1,3,2001,0,1,2965,637,362,0,10,9989210.1
429,58,1,1,29,40696,8,5,2011,0,1,2561,2352,780,1,6,53940.1
25224,8,0,1,48,15830,3,10,1996,0,0,2106,5726,759,0,8,2529744.6
47563,82,1,0,55,97231,9,4,1990,1,1,931,5691,374,1,3,4765002.0
78037,11,1,1,65,83559,6,4,1998,0,1,2500,2644,924,0,8,7811853.8
63026,19,1,1,7,43079,9,4,2004,1,0,349,361,872,0,9,6307284.4
79830,96,1,1,20,68175,6,4,2006,0,1,7666,3908,476,1,1,7989770.6
11826,33,1,0,17,43510,2,9,1991,0,1,9373,1366,662,0,4,1186605.1
52178,15,1,0,96,73210,10,7,2018,0,0,4680,8200,332,0,10,5228450.8
50418,69,0,0,81,22746,5,4,2005,1,1,5888,6516,801,0,3,5049859.5
53434,70,0,0,90,47639,8,2,2019,0,1,7719,1508,354,1,5,5346181.9
76383,22,1,0,22,86521,4,9,2011,0,0,7668,8397,211,0,5,7641724.1
67985,47,0,0,92,7411,10,6,2011,1,0,141,839,263,0,3,6802989.1
54780,70,0,1,3,31961,5,6,2017,1,1,2957,4536,704,1,3,5480478.7
50121,2,0,1,74,97905,3,7,1996,1,0,4289,6636,455,0,9,5020674.6
44064,74,0,1,55,48051,4,4,2021,0,1,10000,8795,711,1,7,4413732.1
28481,74,1,1,6,83577,7,5,2013,0,0,3397,7297,778,1,4,2854717.3
47831,53,1,0,6,87835,4,10,2012,1,0,2538,6505,976,1,10,4786864.2
46211,47,1,0,77,63171,9,5,2003,1,1,6159,9676,776,0,8,4629859.3
32250,5,0,1,94,62776,6,3,2001,0,0,5313,4953,676,1,1,3236484.1
58958,10,1,0,42,56337,6,1,1997,1,1,7832,551,914,0,5,5903746.7
17786,8,1,1,38,60817,9,5,2012,1,0,9748,6209,679,0,8,1784679.2
6284,3,1,0,21,57434,6,4,2016,0,1,1898,8827,768,0,0,631188.6
59615,17,1,0,8,51878,4,7,1990,0,0,6028,1776,746,1,9,5963967.0
48577,76,1,0,20,96540,10,7,2017,0,0,2025,2478,681,1,0,4862984.7
