squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
72178,73,0,0,57,95268,6,7,1998,1,1,5833,7112,727,0,0,7223259.8
11914,36,1,0,57,95044,8,6,2005,0,1,6274,1131,897,0,10,1198177.5
9147,42,1,0,89,6189,6,3,2000,0,1,8572,8015,489,0,6,928384.0
62596,88,0,1,79,75617,4,9,2017,1,1,3152,1688,314,0,6,6272808.7
69371,59,0,0,55,61311,4,7,2004,1,0,3689,5177,611,1,9,6939185.4
47542,25,0,0,97,44458,7,9,2020,1,0,6765,7845,393,1,9,4756989.0
60457,68,0,1,32,22629,9,3,2020,0,1,2526,6045,496,1,10,6051684.0
88033,95,1,1,100,81587,7,5,2006,1,0,9436,3665,753,0,7,8817404.6
3383,13,0,1,51,27498,5,9,1992,0,0,1689,8214,453,0,5,342685.2
85795,97,0,0,59,39767,2,3,2019,1,0,2357,5340,278,0,2,8585311.9
17857,15,1,0,24,70162,8,3,1997,1,1,123,7677,157,1,0,1791426.7
2508,92,1,1,2,10154,8,8,1998,0,1,9107,5150,750,0,5,256655.8
281,52,0,1,38,56775,10,2,1994,1,0,7172,3199,826,1,1,34115.4
14314,50,0,1,45,5357,3,4,2019,1,0,91,6561,908,1,5,1436966.9
96513,26,1,0,53,81523,10,6,1993,0,0,1306,6795,582,0,1,9657237.3
67527,41,1,1,42,26117,10,8,2009,1,1,6765,874,772,1,4,6766655.9
72976,96,0,1,96,7771,4,8,2016,0,1,7706,7273,394,0,7,7306614.6
76420,38,1,0,63,32005,5,8,2006,0,1,3164,6820,170,1,5,7649934.6
67923,61,0,0,95,69105,10,4,2014,1,1,3860,4166,234,1,4,6797581.4
85372,81,0,0,5,72462,10,9,2010,0,0,9416,5948,838,1,10,8538126.0
38923,30,0,0,41,9206,6,5,1993,1,1,679,9075,114,0,4,3895085.3
57663,66,0,1,14,38517,10,2,2001,0,0,7766,13,654,1,2,5770477.1
26943,57,1,1,86,65019,9,5,2016,1,1,254,7641,913,0,0,2701654.6
24839,52,1,0,76,50423,3,4,1994,1,0,7365,6581,766,1,10,2493901.4
85671,33,1,1,5,26126,2,3,2018,0,0,4821,4508,1000,0,5,8572647.8
56085,65,1,1,92,14580,6,6,2019,0,1,4634,1107,897,1,6,5617121.9
53857,91,1,0,49,77898,9,9,1993,0,0,3249,6461,435,1,0,5393354.3
61297,29,0,1,80,42203,1,6,2020,1,0,8140,1302,551,1,4,6134154.0
34854,61,1,1,31,77290,8,1,1991,1,1,6726,36,388,1,0,3491844.1
90777,78,0,0,8,11891,10,5,2009,0,1,5120,5209,744,0,6,9079088.9
29178,74,1,0,14,76662,9,6,2004,1,1,9501,9579,768,1,1,2922723.4
55006,42,0,0,24,48350,4,1,1992,1,1,6526,6142,356,0,9,5503703.2
11491,61,1,1,47,4203,7,3,2019,0,1,5698,4031,597,0,5,1157222.9
44838,48,1,0,77,19697,3,5,2009,1,1,7048,6888,671,1,3,4491363.9
67629,27,0,0,38,45599,1,8,2011,0,1,4353,3714,388,0,10,6767151.1
70607,8,0,1,28,48044,5,7,2009,0,0,6278,8181,397,0,0,7068284.9
50122,69,1,0,84,85527,10,3,2002,0,0,5479,9298,275,1,6,5016998.2
80622,80,0,1,46,53790,6,7,2015,1,1,2308,8765,791,0,3,8069026.5
63886,46,1,0,1,23324,7,8,1992,1,1,3896,2640,771,0,2,6391405.2
30821,52,0,1,27,82221,8,10,2015,0,0,5620,4492,408,0,10,3086776.5
80472,21,1,1,80,81246,1,6,2000,0,0,3435,9377,266,0,6,8054700.0
86834,54,1,1,23,11119,1,1,2013,1,1,5173,9258,757,1,5,8690922.3
9022,72,0,0,100,93106,1,5,1991,0,1,8295,2754,109,1,2,905649.1
59899,61,1,0,61,94757,8,10,2018,1,1,6126,2385,297,0,0,5994256.8
36859,87,0,0,43,80518,7,1,2013,0,0,869,9536,596,1,10,3687440.3
96419,6,1,0,34,77098,6,8,2004,0,1,8968,3210,233,0,2,9646107.4
82651,3,0,0,42,63180,1,7,2018,0,0,6409,7747,982,1,0,8266989.8
26881,57,1,0,82,68073,8,6,1994,1,0,9731,9547,226,0,4,2696414.4
83316,85,0,0,65,1257,8,1,2019,0,0,5337,1277,898,1,4,8336816.9
18738,17,1,0,51,30492,1,3,2003,0,0,4072,1640,443,0,3,1881615.3
1906,16,0,0,30,9172,1,10,2006,0,1,1576,3923,883,0,7,192160.6
60399,88,0,1,48,8539,5,2,2006,1,0,9562,4787,880,1,7,6046439.6
92159,72,0,0,68,46805,9,1,1997,1,0,4553,4114,742,0,1,9220693.7
3966,82,0,0,20,18455,10,3,1991,1,0,440,7209,359,0,9,398719.1
93998,47,0,0,81,39828,8,6,2010,1,0,1605,505,102,0,2,9406433.0
96580,28,1,1,36,43415,10,5,2004,1,0,2176,9890,104,1,9,9671187.4
20818,43,0,1,76,99647,10,2,2007,1,0,4111,4176,915,0,7,2090473.7
65549,38,0,0,38,35657,5,4,2015,1,1,5487,1726,316,1,10,6556739.5
31951,22,0,0,94,6969,1,4,2016,1,0,6606,8523,625,0,10,3196773.6
23541,83,1,0,3,49248,7,6,1991,1,0,2818,4241,970,1,4,2357500.1
17704,83,0,1,33,13030,8,3,2007,0,1,4503,5329,184,1,1,1775366.7
57128,100,1,1,40,50043,7,9,2006,1,1,4856,2230,566,0,8,5721225.6
87276,51,1,1,43,50903,2,2,1992,0,0,8005,7138,113,0,10,8737247.2
50778,83,1,0,91,93274,9,1,1995,0,1,6472,7178,914,1,7,5087311.5
846,51,0,0,51,48599,2,8,1995,0,0,302,1509,946,0,2,88673.5
49312,56,1,0,39,3763,8,7,2019,1,0,9737,9900,844,0,3,4934342.9
99455,26,0,0,36,96724,3,4,2001,0,1,5988,217,841,0,5,9946626.1
75645,51,1,0,64,89555,2,4,2009,1,0,8361,9708,673,0,7,7571223.9
73406,44,1,0,95,80429,9,8,2007,0,1,2144,4242,230,0,2,7351183.7
24895,7,1,1,59,48046,6,2,2012,0,1,8541,5444,851,0,0,2496019.2
13314,5,1,1,17,96126,5,9,2015,1,0,8189,526,663,0,7,1340591.5
78995,53,1,1,49,94092,2,7,1996,0,0,5606,4576,759,1,5,7911960.6
54976,21,1,0,53,74263,4,5,2020,0,0,210,1328,998,1,4,5506062.0
