squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
68992,99,1,0,39,23545,7,9,1995,1,0,2245,7012,682,1,8,6907585.5
10141,66,1,0,48,57500,5,3,1997,0,1,9916,9931,372,0,6,1020755.7
83647,83,0,0,33,28875,5,9,2003,0,0,6035,2696,405,0,9,8367526.3
94846,26,0,1,60,61945,4,6,2014,1,1,887,419,441,0,8,9492403.4
42105,72,0,0,5,44516,1,7,2015,0,1,7013,2111,480,0,5,4211221.5
49833,93,0,1,48,3638,10,4,2017,1,1,6874,3053,194,0,6,4991168.7
35825,25,1,0,12,4563,7,5,1992,1,1,7272,8481,167,0,2,3587596.2
69428,8,0,1,1,13551,10,1,2013,0,0,8231,1812,118,1,9,6944939.3
77287,55,1,0,86,46843,8,2,2014,1,1,5138,8884,437,0,5,7734572.4
13166,33,0,0,80,33060,2,3,2019,0,1,4804,6606,1000,1,8,1323421.9
46131,38,1,1,15,83019,2,6,2005,0,1,7725,7497,249,0,10,4619824.5
37111,54,1,1,85,78418,9,4,1991,0,1,2218,6396,679,0,7,3720632.1
46540,26,0,0,85,58650,9,7,2009,0,1,5740,2401,667,0,3,4656975.9
32369,98,0,1,32,22243,4,1,2013,1,1,5326,5077,182,1,2,3242795.3
2192,69,1,0,84,30946,9,1,1999,0,1,9578,3627,748,1,2,226924.9
22752,14,1,1,58,83194,5,10,2008,0,1,7726,6506,988,1,4,2284238.8
43252,4,0,0,14,50414,3,1,2010,0,0,9888,331,691,1,1,4326741.0
64697,9,0,0,56,60811,8,6,2005,1,1,1581,9560,510,0,0,6474788.5
93168,74,0,1,58,69669,7,9,2002,1,0,6692,923,690,0,10,9321665.2
94681,15,0,1,38,38650,8,3,1998,0,0,4413,4556,757,0,0,9476231.8
27903,21,1,0,65,56311,5,5,2007,1,1,7234,1491,211,0,0,2800107.7
2943,1,1,1,29,27296,9,2,2005,0,1,4470,8588,851,1,9,302523.5
80746,36,0,0,19,13184,6,3,2003,1,1,7670,1538,892,1,7,8077153.3
13449,81,1,0,99,85865,2,9,2016,0,1,9907,7141,293,0,7,1356395.6
66907,24,1,1,93,72331,10,4,2012,0,0,6630,8145,366,0,6,6703560.2
83377,43,0,0,45,12958,8,5,2003,1,0,937,2463,831,1,7,8342685.3
77849,12,0,0,55,61149,5,9,2002,0,0,1951,48,303,0,8,7789805.2
92759,90,1,0,21,76870,8,8,1992,1,1,3299,4523,760,0,9,9280104.2
47283,43,1,1,6,29029,6,1,2012,0,1,9325,6508,856,1,10,4734429.2
96593,95,1,0,79,58402,10,7,2009,1,0,222,645,761,1,7,9665702.9
71226,52,1,0,66,90960,7,4,1995,0,0,7795,7032,782,0,4,7127541.5
49136,9,1,1,48,89553,8,3,2006,0,0,4728,1455,998,0,9,4919606.6
67434,67,1,1,16,34622,3,6,1997,0,1,3840,7239,906,1,2,6749956.7
55324,87,0,1,47,14417,1,7,1994,0,1,2998,9303,291,0,5,5535750.4
43410,68,1,0,30,35515,6,4,2006,1,0,5208,8672,754,0,9,4346921.6
54919,13,1,0,15,61049,7,3,1996,1,0,4870,2998,647,1,0,5497882.6
3880,24,1,1,85,10042,1,6,2013,0,0,8299,9128,246,0,6,394027.3
7028,35,1,1,20,78664,1,10,1995,0,1,7528,1094,219,0,9,711682.5
31433,31,1,1,6,99374,6,5,2016,0,1,2568,2822,145,1,7,3152681.6
83521,59,1,1,47,62591,2,7,2007,0,1,3228,7518,195,1,3,8360843.7
60797,97,1,1,13,4803,5,2,2002,0,1,558,1845,986,0,6,6088961.2
86284,100,1,0,22,67132,3,4,1990,1,0,7612,7741,366,0,3,8632859.0
44966,52,0,0,18,32003,1,10,2020,1,0,5180,6140,328,1,8,4497556.0
18932,36,0,0,51,51502,10,9,1991,1,0,3661,8156,110,1,10,1897312.1
91250,88,0,0,73,6207,8,3,1997,1,1,9598,2750,273,0,3,9129722.7
92563,2,1,0,22,53323,7,8,1993,1,1,4159,5790,722,1,6,9262042.3
48319,59,0,1,54,93680,8,4,1998,1,1,412,8014,378,1,0,4839740.8
27565,79,1,0,3,57364,8,9,1999,0,1,5802,4636,634,1,3,2760622.9
38455,44,0,0,77,49589,4,7,2020,1,0,9249,7247,663,0,1,3851261.0
66180,6,0,0,80,20800,6,5,2003,0,0,3288,5651,164,1,10,6619700.3
43037,78,0,1,82,62592,7,10,2015,0,1,8444,2540,426,0,5,4310516.5
49365,94,1,0,46,19426,7,9,2016,1,1,871,8087,185,0,3,4941743.6
7364,45,1,1,77,41058,6,10,2010,0,0,4918,8690,650,1,6,746098.0
49588,36,0,0,75,8829,9,7,1998,1,1,9692,6974,301,0,9,4963749.8
51957,65,0,1,16,72840,3,8,2021,0,0,3141,2522,988,0,3,5199371.1
31383,68,1,0,12,48525,7,1,2008,1,0,3741,6864,877,0,5,3144398.8
97271,53,0,1,64,94111,2,4,2011,0,1,9741,1674,800,1,3,9738138.1
74271,67,1,0,6,22247,7,3,1992,0,1,7245,718,756,1,9,7430269.2
37217,90,1,0,85,84322,9,7,2000,1,1,2628,9985,309,0,6,3729864.0
61295,43,0,1,76,39034,6,1,1995,0,0,8048,688,329,1,0,6135795.5
53067,14,0,0,74,4056,10,4,1991,0,0,7988,3151,647,0,2,5312209.1
